timestamp,frames_sent,events_generated,total_packets,delivered_packets,dropped_packets,packet_loss_percent,delivery_ratio,bytes_sent,average_latency_ms,minimum_latency_ms,maximum_latency_ms,average_jitter_ms,average_queue_size,maximum_queue_size,average_queue_wait_ms,throughput_mbps,runtime_seconds
1783130024.625556,100,100,101,0,1,0.99,0.0,0,0,0,0,0,50.5,100,0.0,0.0,0.04
1783130025.6556401,2585,2585,2629,2449,44,1.67,93.15,5015552,49.93,40.02,59.99,6.54,135.62,155,55.11,37.382,1.07
1783130026.685598,5202,5202,5301,5051,99,1.87,95.28,10344448,50.11,40.01,60.0,6.61,140.49,156,56.15,39.345,2.1
1783130027.7178419,7811,7811,7970,7673,159,1.99,96.27,15714304,50.06,40.01,60.0,6.58,141.68,157,56.48,40.093,3.14
1783130028.751785,10443,10443,10659,10311,216,2.03,96.74,21116928,50.07,40.0,60.0,6.58,142.6,159,56.63,40.517,4.17
1783130029.7849169,13068,13068,13340,12921,272,2.04,96.86,26462208,50.07,40.0,60.0,6.64,143.09,159,56.72,40.691,5.2
1783130030.8199449,15690,15690,16026,15551,336,2.1,97.04,31848448,50.07,40.0,60.0,6.66,143.35,159,56.78,40.847,6.24
1783130031.856721,18321,18321,18708,18182,387,2.07,97.19,37236736,50.07,40.0,60.0,6.65,143.55,159,56.82,40.951,7.27
1783130032.8945112,20941,20941,21373,20807,432,2.02,97.35,42612736,50.06,40.0,60.0,6.65,143.59,159,56.85,41.012,8.31
1783130033.93293,23561,23561,24028,23427,467,1.94,97.5,47978496,50.04,40.0,60.0,6.65,143.61,159,56.87,41.048,9.35
1783130034.9679549,26149,26149,26666,26013,517,1.94,97.55,53274624,50.07,40.0,60.0,6.67,143.54,159,56.89,41.037,10.39
1783130036.003655,28789,28789,29346,28652,557,1.9,97.64,58679296,50.07,40.0,60.0,6.66,143.71,159,56.9,41.101,11.42
1783130037.041279,31388,31388,31993,31257,605,1.89,97.7,64014336,50.06,40.0,60.0,6.66,143.67,159,56.91,41.104,12.46
1783130109.317415,100,100,101,0,1,0.99,0.0,0,0,0,0,0,50.5,100,0.0,0.0,0.04
1783130110.345357,2710,2710,2755,2558,45,1.63,92.85,5238784,50.09,40.0,59.99,6.56,140.9,156,54.13,39.271,1.07
1783130111.3755782,5211,5211,5315,5064,104,1.96,95.28,10371072,49.94,40.0,60.0,6.59,140.26,156,55.5,39.557,2.1
1783130112.4063518,7860,7860,8006,7715,146,1.82,96.37,15800320,50.02,40.0,60.0,6.64,142.55,157,56.01,40.407,3.13
1783130113.4377,10501,10501,10685,10356,184,1.72,96.92,21209088,50.0,40.0,60.0,6.65,143.45,158,56.26,40.791,4.16
