timestamp,frames_sent,events_generated,packets_sent,bytes_sent,bandwidth_mbps,avg_latency_ms,min_latency_ms,max_latency_ms,network_dropped_packets,network_loss_percentage
1783991310.4143932,50,50,12,12288,3.112,20.0,20.0,20.0,0,0.0
1783991311.4178932,2635,2635,2584,2646016,20.451,20.0,20.0,20.0,0,0.0
1783991312.422345,5205,5205,5154,5277696,20.701,20.0,20.0,20.0,0,0.0
1783991313.511602,7680,7680,7652,7835648,20.035,20.0,20.0,20.0,0,0.0
1783991314.536534,10110,10110,10057,10298368,19.834,20.0,20.0,20.0,0,0.0
1783991315.5419772,12688,12688,12635,12938240,20.062,20.0,20.0,20.0,0,0.0
1783991316.548393,15279,15279,15227,15592448,20.232,20.0,20.0,20.0,0,0.0
1783991317.5554361,17853,17853,17801,18228224,20.331,20.0,20.0,20.0,0,0.0
1783991318.562968,20425,20425,20373,20861952,20.402,20.0,20.0,20.0,0,0.0
1783991319.5716212,22999,22999,22948,23498752,20.459,20.0,20.0,20.0,0,0.0
1783991320.57968,25114,25114,25093,25695232,20.159,20.0,20.0,20.0,0,0.0
